Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,13226.179688,13431.459961,13132.469727,13403.389648,13403.389648,7092520000
2021-02-02,13543.099609,13652.700195,13535.860352,13612.780273,13612.780273,7325270000
2021-02-03,13718.309570,13723.830078,13585.339844,13610.540039,13610.540039,7546940000
2021-02-04,13674.059570,13778.419922,13631.620117,13777.740234,13777.740234,7295370000
2021-02-05,13824.879883,13878.160156,13761.660156,13856.299805,13856.299805,6792910000
2021-02-08,13937.059570,13987.740234,13894.150391,13987.639648,13987.639648,8564530000
2021-02-09,13966.820313,14044.950195,13966.549805,14007.700195,14007.700195,8766770000
2021-02-10,14093.349609,14109.120117,13845.469727,13972.530273,13972.530273,10785930000
2021-02-11,14045.209961,14058.910156,13916.849609,14025.769531,14025.769531,10916780000
2021-02-12,13979.209961,14102.040039,13937.709961,14095.469727,14095.469727,7416940000
2021-02-16,14152.209961,14175.120117,13995.450195,14047.500000,14047.500000,7722100000
2021-02-17,13911.650391,13976.429688,13804.259766,13965.490234,13965.490234,7280500000
2021-02-18,13814.669922,13905.959961,13714.349609,13865.360352,13865.360352,6499420000
2021-02-19,13929.200195,13985.580078,13842.599609,13874.459961,13874.459961,6737820000
2021-02-22,13714.200195,13757.059570,13530.959961,13533.049805,13533.049805,6483740000
2021-02-23,13262.610352,13526.089844,13003.980469,13465.200195,13465.200195,7516510000
2021-02-24,13400.250000,13607.360352,13286.589844,13597.969727,13597.969727,5886230000
2021-02-25,13512.639648,13602.860352,13066.379883,13119.429688,13119.429688,6390380000
2021-02-26,13232.900391,13368.059570,13024.530273,13192.349609,13192.349609,5906110000
2021-03-01,13406.160156,13596.589844,13362.660156,13588.830078,13588.830078,5079530000
2021-03-02,13599.450195,13601.330078,13352.000000,13358.790039,13358.790039,4948140000
2021-03-03,13336.250000,13372.519531,12995.070313,12997.750000,12997.750000,5529980000
2021-03-04,12953.990234,13068.709961,12553.959961,12723.469727,12723.469727,7864380000
2021-03-05,12860.040039,12941.209961,12397.049805,12920.150391,12920.150391,7725200000
2021-03-08,12904.259766,13001.000000,12599.230469,12609.160156,12609.160156,6010230000
2021-03-09,12923.070313,13151.540039,12882.490234,13073.820313,13073.820313,6345560000
2021-03-10,13234.730469,13277.110352,13035.440430,13068.830078,13068.830078,6023880000
2021-03-11,13273.309570,13433.620117,13246.330078,13398.669922,13398.669922,6008850000
2021-03-12,13222.809570,13324.690430,13158.719727,13319.860352,13319.860352,5497210000
2021-03-15,13323.469727,13460.349609,13272.500000,13459.709961,13459.709961,5972370000
2021-03-16,13523.169922,13620.709961,13397.080078,13471.570313,13471.570313,5493890000
2021-03-17,13336.910156,13595.000000,13272.690430,13525.200195,13525.200195,5536110000
2021-03-18,13349.200195,13384.459961,13101.919922,13116.169922,13116.169922,5739720000
2021-03-19,13119.900391,13252.370117,13039.450195,13215.240234,13215.240234,7630590000
2021-03-22,13278.780273,13455.639648,13278.780273,13377.540039,13377.540039,5321760000
2021-03-23,13381.429688,13405.150391,13202.429688,13227.700195,13227.700195,5675010000
2021-03-24,13289.240234,13292.919922,12961.349609,12961.889648,12961.889648,6248650000
2021-03-25,12844.580078,13021.860352,12786.809570,12977.679688,12977.679688,5634290000
2021-03-26,12996.030273,13149.549805,12878.719727,13138.730469,13138.730469,5224360000
2021-03-29,13103.969727,13143.410156,12968.160156,13059.650391,13059.650391,4965090000
2021-03-30,13008.799805,13075.750000,12922.570313,13045.389648,13045.389648,4721950000
2021-03-31,13122.570313,13325.540039,13118.379883,13246.870117,13246.870117,5004720000
2021-04-01,13414.320313,13487.080078,13404.179688,13480.110352,13480.110352,4576480000
2021-04-05,13594.900391,13720.580078,13582.759766,13705.589844,13705.589844,4459000000
2021-04-06,13681.669922,13776.709961,13674.280273,13698.379883,13698.379883,4073710000
2021-04-07,13675.299805,13733.030273,13653.589844,13688.839844,13688.839844,4098740000
2021-04-08,13796.889648,13830.139648,13758.709961,13829.309570,13829.309570,4153600000
2021-04-09,13787.019531,13905.410156,13748.349609,13900.190430,13900.190430,3926110000
2021-04-12,13854.440430,13877.000000,13783.950195,13850.000000,13850.000000,4250900000
2021-04-13,13902.450195,14011.509766,13902.450195,13996.099609,13996.099609,4219360000
2021-04-14,14004.080078,14033.629883,13839.040039,13857.839844,13857.839844,4120770000
2021-04-15,13983.230469,14049.129883,13970.419922,14038.759766,14038.759766,4406880000
2021-04-16,14059.110352,14062.500000,13977.049805,14052.339844,14052.339844,4427780000
2021-04-19,13984.580078,14041.790039,13842.570313,13914.769531,13914.769531,4379610000
2021-04-20,13894.459961,13927.669922,13698.669922,13786.269531,13786.269531,4245120000
2021-04-21,13745.769531,13951.349609,13706.860352,13950.219727,13950.219727,3999620000
2021-04-22,13952.570313,14015.870117,13771.040039,13818.410156,13818.410156,4420820000
2021-04-23,13861.370117,14062.740234,13856.830078,14016.809570,14016.809570,4355100000
2021-04-26,14052.379883,14154.030273,14019.500000,14138.780273,14138.780273,4506210000
2021-04-27,14170.910156,14171.240234,14064.280273,14090.219727,14090.219727,4691460000
2021-04-28,14082.780273,14133.650391,14034.700195,14051.030273,14051.030273,4559710000
2021-04-29,14204.509766,14211.570313,13952.799805,14082.549805,14082.549805,4928030000
2021-04-30,13970.730469,14084.759766,13941.629883,13962.679688,13962.679688,4792460000
2021-05-03,14031.769531,14042.120117,13881.509766,13895.120117,13895.120117,4761430000
2021-05-04,13774.509766,13795.570313,13485.589844,13633.500000,13633.500000,5879730000
2021-05-05,13731.129883,13753.049805,13553.929688,13582.419922,13582.419922,4535690000
2021-05-06,13557.830078,13635.730469,13439.389648,13632.839844,13632.839844,5021400000
2021-05-07,13723.089844,13828.620117,13690.750000,13752.240234,13752.240234,4391100000
2021-05-10,13687.589844,13687.929688,13401.740234,13401.860352,13401.860352,4818670000
2021-05-11,13115.849609,13423.309570,13107.669922,13389.429688,13389.429688,4738390000
2021-05-12,13215.490234,13288.610352,13002.540039,13031.679688,13031.679688,4752930000
2021-05-13,13150.940430,13247.870117,13007.240234,13124.990234,13124.990234,4698110000
2021-05-14,13255.650391,13460.879883,13242.969727,13429.980469,13429.980469,4022610000
2021-05-17,13368.799805,13399.169922,13265.400391,13379.049805,13379.049805,3997780000
2021-05-18,13416.900391,13485.339844,13299.929688,13303.639648,13303.639648,4301300000
2021-05-19,13078.190430,13304.610352,13072.230469,13299.740234,13299.740234,4333520000
2021-05-20,13356.629883,13563.519531,13355.709961,13535.740234,13535.740234,3990760000
2021-05-21,13616.190430,13616.580078,13463.259766,13470.990234,13470.990234,3733940000
2021-05-24,13557.209961,13708.849609,13551.009766,13661.169922,13661.169922,3509470000
2021-05-25,13721.540039,13751.139648,13631.799805,13657.169922,13657.169922,4128990000
2021-05-26,13693.940430,13750.160156,13679.589844,13738.000000,13738.000000,4264500000
2021-05-27,13742.589844,13776.519531,13701.629883,13736.280273,13736.280273,5087180000
2021-05-28,13792.049805,13820.870117,13747.610352,13748.740234,13748.740234,4447940000
2021-06-01,13829.059570,13836.169922,13678.769531,13736.480469,13736.480469,4186280000
2021-06-02,13743.240234,13775.889648,13689.740234,13756.330078,13756.330078,5097630000
2021-06-03,13655.750000,13684.129883,13548.929688,13614.509766,13614.509766,5396250000
2021-06-04,13697.250000,13826.820313,13692.009766,13814.490234,13814.490234,4360710000
2021-06-07,13802.820313,13889.110352,13784.889648,13881.719727,13881.719727,4639210000
2021-06-08,13946.320313,13981.719727,13831.980469,13924.910156,13924.910156,5958410000
2021-06-09,13980.230469,14003.500000,13906.450195,13911.750000,13911.750000,5640490000
2021-06-10,13933.879883,14031.190430,13904.400391,14020.330078,14020.330078,4919880000
2021-06-11,14030.849609,14069.419922,14006.589844,14069.419922,14069.419922,4157580000
2021-06-14,14083.469727,14175.450195,14056.669922,14174.139648,14174.139648,4415160000
2021-06-15,14166.639648,14171.019531,14052.160156,14072.860352,14072.860352,4554580000
2021-06-16,14085.549805,14129.690430,13903.730469,14039.679688,14039.679688,4683030000
2021-06-17,13999.129883,14196.209961,13998.929688,14161.349609,14161.349609,4558280000
2021-06-18,14096.929688,14129.219727,14009.040039,14030.379883,14030.379883,6126070000
2021-06-21,14047.419922,14150.780273,13960.040039,14141.480469,14141.480469,4562010000
2021-06-22,14138.290039,14269.769531,14121.000000,14253.269531,14253.269531,4433140000
2021-06-23,14263.379883,14317.660156,14246.299805,14271.730469,14271.730469,4417470000
2021-06-24,14357.269531,14414.459961,14333.700195,14369.709961,14369.709961,4324620000
2021-06-25,14400.809570,14409.080078,14337.650391,14360.389648,14360.389648,7468090000
2021-06-28,14417.809570,14505.190430,14417.200195,14500.509766,14500.509766,4283000000
2021-06-29,14509.190430,14535.969727,14471.379883,14528.330078,14528.330078,4901300000
2021-06-30,14509.849609,14526.809570,14478.059570,14503.950195,14503.950195,5293810000
2021-07-01,14493.690430,14533.549805,14439.400391,14522.379883,14522.379883,4410470000
2021-07-02,14582.980469,14649.110352,14555.339844,14639.330078,14639.330078,3751420000
2021-07-06,14661.549805,14687.000000,14529.799805,14663.639648,14663.639648,4489540000
2021-07-07,14753.410156,14755.330078,14580.790039,14665.059570,14665.059570,4605630000
2021-07-08,14409.200195,14610.059570,14371.589844,14559.780273,14559.780273,4575010000
2021-07-09,14578.429688,14710.200195,14552.259766,14701.919922,14701.919922,3826500000
2021-07-12,14743.860352,14761.080078,14672.629883,14733.240234,14733.240234,3897090000
2021-07-13,14715.129883,14803.679688,14660.190430,14677.650391,14677.650391,4583460000
2021-07-14,14780.900391,14790.549805,14632.950195,14644.950195,14644.950195,4496220000
2021-07-15,14635.780273,14650.370117,14451.799805,14543.129883,14543.129883,4512550000
2021-07-16,14597.509766,14623.019531,14413.320313,14427.240234,14427.240234,4069530000
2021-07-19,14235.980469,14313.599609,14178.660156,14274.980469,14274.980469,4537130000
2021-07-20,14330.459961,14555.750000,14271.230469,14498.879883,14498.879883,4652450000
2021-07-21,14508.750000,14633.139648,14498.650391,14631.950195,14631.950195,4098520000
2021-07-22,14652.719727,14694.190430,14617.870117,14684.599609,14684.599609,3597540000
2021-07-23,14753.059570,14846.059570,14698.769531,14836.990234,14836.990234,3997250000
2021-07-26,14821.030273,14863.650391,14790.490234,14840.709961,14840.709961,4437090000
2021-07-27,14807.950195,14811.080078,14503.759766,14660.580078,14660.580078,4329230000
2021-07-28,14715.660156,14798.879883,14645.629883,14762.580078,14762.580078,4268210000
2021-07-29,14771.169922,14833.740234,14761.379883,14778.259766,14778.259766,3928640000
2021-07-30,14615.849609,14728.780273,14615.849609,14672.679688,14672.679688,3645050000
2021-08-02,14758.599609,14770.410156,14665.669922,14681.070313,14681.070313,3746130000
2021-08-03,14713.990234,14762.599609,14584.089844,14761.290039,14761.290039,4141370000
2021-08-04,14747.209961,14812.370117,14734.120117,14780.530273,14780.530273,4337330000
2021-08-05,14794.080078,14896.469727,14776.030273,14895.120117,14895.120117,4107300000
2021-08-06,14864.219727,14890.179688,14788.589844,14835.759766,14835.759766,4173090000
2021-08-09,14855.759766,14883.809570,14802.690430,14860.179688,14860.179688,4111640000
2021-08-10,14887.750000,14894.610352,14754.480469,14788.089844,14788.089844,3991770000
2021-08-11,14834.379883,14842.500000,14692.410156,14765.139648,14765.139648,4002340000
2021-08-12,14751.360352,14824.309570,14698.940430,14816.259766,14816.259766,4049000000
